County,Rank
Adams,80
Allen,9
Ashland,70
Ashtabula,27
Athens,29
Auglaize,82
Belmont,40
Brown,78
Butler,18
Carroll,81
Champaign,52
Clark,12
Clermont,61
Clinton,53
Columbiana,49
Coshocton,66
Crawford,73
Cuyahoga,1
Darke,77
Defiance,15
Delaware,32
Erie,10
Fairfield,41
Fayette,48
Franklin,3
Fulton,25
Gallia,46
Geauga,65
Greene,13
Guernsey,58
Hamilton,2
Hancock,31
Hardin,68
Harrison,59
Henry,26
Highland,60
Hocking,76
Holmes,86
Huron,36
Jackson,75
Jefferson,24
Knox,71
Lake,39
Lawrence,57
Licking,50
Logan,56
Lorain,7
Lucas,4
Madison,19
Mahoning,6
Marion,21
Medina,62
Meigs,79
Mercer,74
Miami,51
Monroe,88
Montgomery,5
Morgan,43
Morrow,84
Muskingum,34
Noble,23
Ottawa,38
Paulding,42
Perry,87
Pickaway,20
Pike,64
Portage,35
Preble,85
Putnam,37
Richland,11
Ross,22
Sandusky,14
Scioto,45
Seneca,30
Shelby,54
Stark,17
Summit,8
Trumbull,16
Tuscarawas,72
Union,44
Van Wert,63
Vinton,83
Warren,33
Washington,69
Wayne,55
Williams,47
Wood,28
Wyandot,67
